x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10]
,2008-03-27,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-28,0.042154989,0.016912481,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-31,0.042154989,0.016912481,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-04-01,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-02,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-03,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-04,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-07,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-08,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-09,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-10,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-11,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-14,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-15,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-16,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-17,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-18,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-21,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-22,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-23,0.042154989,0.016912481,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-24,0.042154989,0.020518553,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-25,0.042154989,0.020518553,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-28,0.042154989,0.020518553,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-29,0.042154989,0.020518553,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-04-30,0.042154989,0.020518553,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-05-01,0.042154989,0.020518553,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
,2008-05-02,0.042154989,0.020518553,0.042154989,0.052973207,0.07100357,0.096246078,0.110670369,0.125094659,0.15394324,0.182791821,None
